show_id,title,year released,certificate,duration_min,genre,rating,description,stars,votes
S1333,Sabotage,2014,R,109,Action,5.7,Members of an elite DEA task force find themselves being taken down one by one after they rob a drug cartel safe house.,"['David Ayer', '| ', '    Stars:', 'Arnold Schwarzenegger, ', 'Sam Worthington, ', 'Terrence Howard, ', 'Olivia Williams']","63,842"
S1334,Robert Kelly: Live at the Village Underground,2014,Not Rated,63,Comedy,7.2,"Robert Kelly: Live at the Village Underground is a stand-up comedy film that captures the indomitable nightlife and comedy club scene of New York City through Robert Kelly's raucous, savvy and hilarious one-man show.","['Robert Kelly', '| ', '    Star:', 'Robert Kelly']",220
S1335,Tiger Orange,2014,Unrated,75,Drama,6.5,"In the small Central California town where they grew up, two estranged gay brothers struggle to reconnect after the recent death of their father.","['Wade Gasque', '| ', '    Stars:', 'Mark Strano, ', 'Frankie Valenti, ', 'Gregory Marcel, ', 'Ty Parker']","1,417"
S1336,A Tiger in the Dark: The Decadence Saga,2014,R,128,Drama,7.7,They have only one purpose...to find you.,"['Drew Glick', '| ', '    Stars:', 'Tod Boulware, ', 'Chen Drachman, ', 'Patrícia Faolli, ', 'Drew Glick']",50
S1337,When Marnie Was There,2014,PG,103,Animation,7.7,"Due to 12 y.o. Anna's asthma, she's sent to stay with relatives of her guardian in the Japanese countryside. She likes to be alone, sketching. She befriends Marnie. Who is the mysterious, blonde Marnie.","['Hiromasa Yonebayashi', '| ', '    Stars:', 'Sara Takatsuki, ', 'Kasumi Arimura, ', 'Nanako Matsushima, ', 'Susumu Terajima']","40,640"
S1338,Honeymoon,2014,R,87,Drama,5.7,A newlywed couple finds their lake-country honeymoon descend into chaos after Paul finds Bea wandering and disoriented in the middle of the night.,"['Leigh Janiak', '| ', '    Stars:', 'Rose Leslie, ', 'Harry Treadaway, ', 'Ben Huber, ', 'Hanna Brown']","26,016"
S1339,Tiny House Nation,2014,TV-PG,41,Reality-TV,7.4,"This week, John and Zack head west to Sonoma County, CA to help volunteer firefighter, Scott and his wife Xanthie build a home to replace the one they lost in the Northern California ...                See full summary »","['John Weisbarth, ', 'Zack Giffin']",24
S1340,Tiny House Nation,2014,TV-PG,40,Reality-TV,7.1,"John and Zack head to Texas to help a family rebuild after losing their dream home in a fire. But Deanna and her sons are used to living large, so she wants to build two tiny homes: one for...                See full summary »","['John Weisbarth, ', 'Zack Giffin']",22
S1341,Laggies,2014,R,99,Comedy,6.4,"In the throes of a quarter-life crisis, Megan panics when her boyfriend proposes. She takes an opportunity to escape for a week, hiding out in the house of her new 16-year-old friend Annika and her world-weary single dad.","['Lynn Shelton', '| ', '    Stars:', 'Keira Knightley, ', 'Chloë Grace Moretz, ', 'Sam Rockwell, ', 'Mark Webber']","44,270"
S1342,Finding Home,2014,Unrated,118,Documentary,7.8,Follows the lives of three young Cambodian women who were victims of sex trafficking at a young age. Experience these girls heartaches and hopes as they struggle to go from victim to survivor.,"['Derek Hammeke', '| ', '    Star:', 'Stephanie Freed']",219
S1343,It's Not Over,2014,Not Rated,72,Documentary,6.3,"A fresh look on HIV/AIDS through the lens of Millennials. What happened to an 'AIDS free generation'? Award-winning filmmaker Andrew Jenks embarks on a global journey, traveling to South ...                See full summary »","['Andrew Jenks', '| ', '    Stars:', 'Paige Rawl, ', 'Lucky Mufundisi, ', 'Sarang Bhakre, ', 'Andrew Jenks']",48
S1344,BoJack Horseman,2014,TV-MA,26,Animation,9.9,BoJack reconnects with faces from his past.,"['Amy Winfrey', '| ', '    Stars:', 'Will Arnett, ', 'Amy Sedaris, ', 'Alison Brie, ', 'Paul F. Tompkins']","16,066"
S1345,BoJack Horseman,2014,TV-MA,26,Animation,8.9,Angela Diaz reaches out to BoJack. Princess Carolyn gets an offer from Lenny Turtletaub. Todd cooks up a scheme.,"['James Bowman', '| ', '    Stars:', 'Will Arnett, ', 'Amy Sedaris, ', 'Alison Brie, ', 'Paul F. Tompkins']","3,112"
S1346,The Sklar Brothers: What Are We Talking About,2014,Not Rated,69,Comedy,6.1,"Jason and Randy Sklar perform in front of an audience in Madison, Wisconsin.","['Jay Chapman', '| ', '    Stars:', 'Randy Sklar, ', 'Jason Sklar, ', 'Bonnie Bernstein, ', 'Omar J. Dorsey']",72
S1347,Tiny House Nation,2014,TV-PG,42,Reality-TV,7.1,"John and Zack head to Texas to help Ashley and Angel, a couple who are giving up their large house to turn it into a women's recovery center; but first, they want to move into a tiny house ...                See full summary »","['John Weisbarth, ', 'Zack Giffin']",22
S1348,Tiny House Nation,2014,TV-PG,41,Reality-TV,7.3,"John and Zack head to Florida, to help a couple give up their huge condo, so they can hit the road. Tony's a travel nurse, with plans to take the tiny home across the country as he pitches ...                See full summary »","['John Weisbarth, ', 'Zack Giffin, ', 'Brett Hiltbrand']",25
S1349,BoJack Horseman,2014,TV-MA,26,Animation,8.6,BoJack gets a new AA sponsor. Todd plans a sophisticated party to impress his parents. Diane gets to know Sonny.,"['Adam Parton', '| ', '    Stars:', 'Will Arnett, ', 'Amy Sedaris, ', 'Alison Brie, ', 'Paul F. Tompkins']","2,752"
S1350,Stonehearst Asylum,2014,PG-13,112,Drama,6.8,"An Oxford graduate takes up a job in a mental asylum, only to discover that the ""revolutionary"" new treatments are inhumane, and that there is more going on than meets the eye.","['Brad Anderson', '| ', '    Stars:', 'Kate Beckinsale, ', 'Jim Sturgess, ', 'David Thewlis, ', 'Brendan Gleeson']","56,882"
S1351,Dukhtar,2014,Not Rated,93,Drama,6.9,"In the mountains of Pakistan, a mother and her ten-year-old daughter flee their home on the eve of the girl's marriage to a tribal leader. A deadly hunt for them begins.","['Afia Nathaniel', '| ', '    Stars:', 'Samiya Mumtaz, ', 'Mohib Mirza, ', 'Saleha Aref, ', 'Asif Khan']","2,429"
S1352,Pelican Dreams,2014,G,80,Documentary,6.8,"Judy Irving (""The Wild Parrots of Telegraph Hill"") follows a wayward California pelican from her ""arrest"" on the Golden Gate Bridge into care at a rehab facility and explores nesting ...                See full summary »","['Judy Irving', '| ', '    Stars:', 'Mark Bittner, ', 'Laura Corsiglia, ', 'Jacky Douglas, ', 'Laurie Harvey']",151
