title,year released,certificate,duration,genre,rating,votes
The Quake,2018,PG-13,106 min,"Action, Drama, Thriller",6.2,"12,293"
Pierre Jackson,2018,TV-MA,81 min,Romance,6.7,82
The Mercy,2018,Not Rated,112 min,"Adventure, Biography, Drama",6.0,"8,688"
Vir Das: Losing It,2018,TV-MA,67 min,Comedy,7.0,"1,275"
Charming,2018,TV-Y7,85 min,"Animation, Adventure, Comedy",5.6,"3,566"
Rust Valley Restorers,2018,TV-14,38 min,Documentary,7.7,"2,958"
Bleach,2018,TV-14,108 min,"Action, Adventure, Fantasy",6.3,"11,766"
My Next Guest Needs No Introduction with David Letterman,2018,TV-MA,61 min,Talk-Show,8.8,"1,329"
Haunted,2018,TV-MA,24 min,"Horror, Reality-TV",4.6,"3,267"
The House of Flowers,2018,TV-MA,33 min,"Comedy, Drama",6.8,128
Carlos Ballarta: Furia ñera,2018,TV-MA,62 min,Comedy,7.1,218
Unsolved: The Murders of Tupac and the Notorious B.I.G.,2018,TV-MA,60 min,"Biography, Crime, Drama",7.8,"7,994"
Meteor Garden,2018,TV-14,45 min,"Drama, Romance",7.9,"4,145"
The House of Flowers,2018,TV-MA,29 min,"Comedy, Drama",6.5,137
Hilda,2018,TV-Y7,24 min,"Animation, Adventure, Comedy",8.5,"10,730"
Duck Butter,2018,Not Rated,93 min,"Comedy, Drama, Romance",5.3,"4,043"
The House of Flowers,2018,TV-MA,31 min,"Comedy, Drama",6.4,147
The House of Flowers,2018,TV-MA,31 min,"Comedy, Drama",6.7,149
Mau Nieto: Viviendo sobrio... desde el bar,2018,TV-MA,57 min,Comedy,6.7,81
The House of Flowers,2018,TV-MA,32 min,"Comedy, Drama",6.5,161
How NOT to Summon a Demon Lord,2018,TV-MA,24 min,"Animation, Adventure, Comedy",7.0,"3,500"
Final Score,2018,R,104 min,"Action, Drama, Thriller",5.8,"12,973"
Tau,2018,R,97 min,"Sci-Fi, Thriller",5.8,"31,614"
Good Girls,2018,TV-14,42 min,"Comedy, Crime, Drama",7.9,469
Rafinha Bastos: Ultimato,2018,TV-MA,62 min,Comedy,6.5,222
Fernando Sanjiao: Hombre,2018,TV-MA,63 min,Comedy,6.4,59
Alejandro Riaño: Especial de stand-up,2018,TV-MA,60 min,Comedy,4.9,71
Car Masters: Rust to Riches,2018,TV-PG,40 min,Reality-TV,8.4,"10,809"
The House of Flowers,2018,TV-MA,60 min,"Comedy, Drama",7.6,"7,884"
Fyre,2018,TV-MA,97 min,"Documentary, Crime, Music",7.2,"47,128"
The Week Of,2018,TV-14,116 min,Comedy,5.2,"22,189"
Ibiza,2018,TV-MA,94 min,"Comedy, Romance",5.2,"17,721"
Luciano Mellera: Infantiloide,2018,TV-14,66 min,Comedy,7.5,"1,520"
Dogs of Berlin,2018,TV-MA,542 min,"Action, Crime, Drama",7.5,"12,808"
Rust Creek,2018,R,108 min,"Crime, Drama, Thriller",5.9,"11,778"
T-34,2018,TV-14,139 min,"Action, War",6.7,"12,522"
Sebastián Marcelo Wainraich,2018,TV-MA,49 min,Comedy,6.4,110
Adel Karam: Live from Beirut,2018,TV-MA,59 min,Comedy,5.3,151
Step Sisters,2018,PG-13,108 min,Comedy,5.4,"4,584"
Love Jacked,2018,PG-13,100 min,"Comedy, Romance",5.8,"2,259"
Ricardo Quevedo: Hay gente así,2018,TV-MA,59 min,Comedy,6.3,114
Fary Is the New Black,2018,TV-MA,74 min,Comedy,5.8,137
Lucas Lauriente: Todo lo que sería,2018,TV-MA,74 min,Comedy,6.7,112
Cathedral of the Sea,2018,TV-MA,55 min,"Drama, History",7.4,"4,567"
She-Ra and the Princesses of Power,2018,TV-Y7,24 min,"Animation, Action, Adventure",8.5,"1,007"
She-Ra and the Princesses of Power,2018,TV-Y7,24 min,"Animation, Action, Adventure",8.8,"1,072"
The Ballad of Buster Scruggs,2018,R,133 min,"Comedy, Drama, Musical",7.3,"146,391"
She-Ra and the Princesses of Power,2018,TV-Y7,24 min,"Animation, Action, Adventure",7.9,"1,024"
Castle Rock,2018,TV-MA,60 min,"Drama, Fantasy, Horror",7.5,"45,696"
Cobra Kai,2018,TV-14,41 min,"Action, Comedy, Drama",9.4,"5,941"
Cobra Kai,2018,TV-14,28 min,"Action, Comedy, Drama",8.3,"3,275"
Cobra Kai,2018,TV-14,30 min,"Action, Comedy, Drama",8.7,"3,627"
Cobra Kai,2018,TV-14,34 min,"Action, Comedy, Drama",8.3,"3,259"
Cobra Kai,2018,TV-14,32 min,"Action, Comedy, Drama",7.8,"3,340"
Cobra Kai,2018,TV-14,39 min,"Action, Comedy, Drama",9.0,"4,152"
Cobra Kai,2018,TV-14,38 min,"Action, Comedy, Drama",8.1,"3,460"
Hi Score Girl,2018,TV-PG,25 min,"Animation, Comedy, Romance",7.8,43
Cobra Kai,2018,TV-14,29 min,"Action, Comedy, Drama",8.1,"3,174"
Cobra Kai,2018,TV-14,36 min,"Action, Comedy, Drama",8.4,"3,532"
Cobra Kai,2018,TV-14,32 min,"Action, Comedy, Drama",8.0,"3,702"
Narcos: Mexico,2018,TV-MA,56 min,"Crime, Drama",8.6,"1,525"
Ocean's Eight,2018,PG-13,110 min,"Action, Comedy, Crime",6.3,"217,713"
12 Strong,2018,R,130 min,"Action, Drama, History",6.5,"81,719"
Good Girls,2018,TV-14,42 min,"Comedy, Crime, Drama",8.1,546
Bird Box,2018,R,124 min,"Horror, Mystery, Sci-Fi",6.6,"336,633"
Good Girls,2018,TV-14,42 min,"Comedy, Crime, Drama",8.0,532
The Girl in the Spider's Web,2018,R,115 min,"Action, Crime, Drama",6.1,"47,930"
The Alienist,2018,TV-MA,60 min,"Crime, Drama, Mystery",7.7,"54,039"
Robin Hood,2018,PG-13,116 min,"Action, Adventure, Drama",5.3,"73,741"
She-Ra and the Princesses of Power,2018,TV-Y7,24 min,"Animation, Action, Adventure",8.0,"1,079"
She-Ra and the Princesses of Power,2018,TV-Y7,24 min,"Animation, Action, Adventure",8.1,"1,061"
She-Ra and the Princesses of Power,2018,TV-Y7,24 min,"Animation, Action, Adventure",8.0,"1,054"
She-Ra and the Princesses of Power,2018,TV-Y7,24 min,"Animation, Action, Adventure",8.1,"1,101"
Disenchantment,2018,TV-MA,30 min,"Animation, Action, Adventure",7.2,"61,178"
She-Ra and the Princesses of Power,2018,TV-Y7,24 min,"Animation, Action, Adventure",7.5,"1,032"
She-Ra and the Princesses of Power,2018,TV-Y7,24 min,"Animation, Action, Adventure",7.7,"1,036"
Outlaw King,2018,R,121 min,"Action, Biography, Drama",6.9,"71,960"
Sicario: Day of the Soldado,2018,R,122 min,"Action, Adventure, Crime",7.1,"147,136"
Final Space,2018,TV-14,21 min,"Animation, Action, Adventure",7.6,841
Lost in Space,2018,TV-PG,60 min,"Adventure, Drama, Family",7.3,"99,084"
Manifest,2018,TV-14,43 min,"Drama, Mystery, Sci-Fi",7.1,"59,167"
3Below: Tales of Arcadia,2018,TV-Y7,22 min,"Animation, Action, Adventure",7.7,168
You,2018,TV-MA,45 min,"Crime, Drama, Romance",7.7,"234,218"
The Rain,2018,TV-MA,48 min,"Drama, Sci-Fi, Thriller",6.5,442
The Haunting of Hill House,2018,TV-MA,572 min,"Drama, Horror, Mystery",8.6,"237,198"
New Amsterdam,2018,TV-14,43 min,Drama,8.0,"37,212"
Pose,2018,TV-MA,54 min,Drama,8.1,581
Good Girls,2018,TV-14,43 min,"Comedy, Crime, Drama",7.7,"51,835"
Good Girls,2018,TV-14,42 min,"Comedy, Crime, Drama",7.8,401
Narcos: Mexico,2018,TV-MA,60 min,"Crime, Drama",7.9,"1,433"
Derry Girls,2018,TV-MA,30 min,Comedy,8.5,"36,522"
Good Girls,2018,TV-14,42 min,"Comedy, Crime, Drama",7.6,421
Hi Score Girl,2018,TV-PG,25 min,"Animation, Comedy, Romance",8.0,45
Elite,2018,TV-MA,60 min,"Crime, Drama, Thriller",7.4,"77,113"
Final Space,2018,TV-14,21 min,"Animation, Action, Adventure",8.8,"1,080"
Narcos: Mexico,2018,TV-MA,50 min,"Crime, Drama",8.4,"83,199"
Altered Carbon,2018,TV-MA,60 min,"Action, Drama, Sci-Fi",7.9,"167,469"
Jurassic World: Fallen Kingdom,2018,PG-13,128 min,"Action, Adventure, Sci-Fi",6.1,"314,340"
Chilling Adventures of Sabrina,2018,TV-14,60 min,"Drama, Fantasy, Horror",7.4,"93,761"
Bodyguard,2018,TV-MA,60 min,"Crime, Drama, Thriller",8.1,"121,426"
Final Space,2018,TV-14,21 min,"Animation, Action, Adventure",9.1,939
Final Space,2018,TV-14,21 min,"Animation, Action, Adventure",8.7,739
Venom,2018,PG-13,112 min,"Action, Adventure, Sci-Fi",6.6,"478,585"
Final Space,2018,TV-14,21 min,"Animation, Action, Adventure",8.1,694
Final Space,2018,TV-14,21 min,"Animation, Action, Adventure",7.5,708
Final Space,2018,TV-14,21 min,"Animation, Action, Adventure",8.7,852
Final Space,2018,TV-14,21 min,"Animation, Action, Adventure",8.6,809
Final Space,2018,TV-14,21 min,"Animation, Action, Adventure",7.9,761
Final Space,2018,TV-14,21 min,"Animation, Action, Adventure",7.9,770
Final Space,2018,TV-14,21 min,"Animation, Action, Adventure",7.9,827
Narcos: Mexico,2018,TV-MA,57 min,"Crime, Drama",7.9,"1,514"
Girl From Nowhere,2018,TV-MA,45 min,"Crime, Drama, Fantasy",7.6,"4,447"
Hi Score Girl,2018,TV-PG,25 min,"Animation, Comedy, Romance",7.4,44
Pose,2018,TV-MA,68 min,Drama,9.1,769
Apostle,2018,TV-MA,130 min,"Drama, Fantasy, Horror",6.3,"52,870"
The Protector,2018,TV-MA,40 min,"Action, Fantasy, Sci-Fi",6.5,"34,809"
Good Girls,2018,TV-14,41 min,"Comedy, Crime, Drama",7.9,548
On My Block,2018,TV-14,30 min,"Comedy, Drama",8.2,243
Everything Sucks!,2018,TV-14,30 min,"Comedy, Drama",7.5,"19,872"
Rise of the Teenage Mutant Ninja Turtles,2018,TV-Y7-FV,22 min,"Animation, Action, Adventure",5.1,"3,965"
Hi Score Girl,2018,TV-PG,25 min,"Animation, Comedy, Romance",8.3,60
Death Wish,2018,R,107 min,"Action, Crime, Drama",6.3,"72,384"
Hi Score Girl,2018,TV-PG,25 min,"Animation, Comedy, Romance",7.9,57
Hi Score Girl,2018,TV-PG,25 min,"Animation, Comedy, Romance",8.1,60
Hi Score Girl,2018,TV-PG,25 min,"Animation, Comedy, Romance",7.6,49
College Romance,2018,TV-MA,30 min,"Comedy, Drama, Romance",8.4,"26,513"
Elite,2018,TV-MA,51 min,"Crime, Drama, Thriller",9.0,"1,938"
Elite,2018,TV-MA,48 min,"Crime, Drama, Thriller",7.8,"1,254"
Pose,2018,TV-MA,60 min,Drama,8.6,"29,019"
Mirage,2018,TV-MA,128 min,"Drama, Fantasy, Mystery",7.4,"55,701"
The Cloverfield Paradox,2018,PG-13,102 min,"Action, Horror, Sci-Fi",5.5,"105,228"
Mr. Sunshine,2018,TV-MA,80 min,"Action, Drama, History",8.7,"7,620"
The Kominsky Method,2018,TV-MA,26 min,"Comedy, Drama",8.0,835
The Kominsky Method,2018,TV-MA,21 min,"Comedy, Drama",8.0,764
The Kominsky Method,2018,TV-MA,25 min,"Comedy, Drama",8.2,807
Final Space,2018,TV-14,30 min,"Animation, Action, Adventure",8.2,"43,494"
On My Block,2018,TV-14,28 min,"Comedy, Drama",7.6,211
The Kominsky Method,2018,TV-MA,25 min,"Comedy, Drama",8.0,803
The Kominsky Method,2018,TV-MA,25 min,"Comedy, Drama",8.0,796
The Kominsky Method,2018,TV-MA,29 min,"Comedy, Drama",7.9,823
The Kominsky Method,2018,TV-MA,23 min,"Comedy, Drama",8.1,896
Good Girls,2018,TV-14,42 min,"Comedy, Crime, Drama",8.3,683
Seven Seconds,2018,TV-MA,60 min,"Crime, Drama",7.7,"16,561"
She-Ra and the Princesses of Power,2018,TV-Y7,24 min,"Animation, Action, Adventure",9.1,"1,106"
Baki,2018,TV-MA,45 min,"Animation, Action, Drama",6.7,"6,333"
Rampage,2018,PG-13,107 min,"Action, Adventure, Sci-Fi",6.1,"167,170"
Baby,2018,TV-MA,51 min,Drama,7.3,119
Hotel Mumbai,2018,R,123 min,"Action, Drama, History",7.6,"63,979"
Pose,2018,TV-MA,42 min,Drama,8.8,696
The Kissing Booth,2018,TV-14,105 min,"Comedy, Romance",5.9,"83,980"
Maniac,2018,TV-MA,386 min,"Comedy, Drama, Sci-Fi",7.7,"78,151"
Insatiable,2018,TV-MA,45 min,"Comedy, Drama, Thriller",6.5,"28,595"
Baby,2018,TV-MA,45 min,Drama,7.8,172
Baby,2018,TV-MA,41 min,Drama,7.7,155
The Kominsky Method,2018,TV-MA,30 min,"Comedy, Drama",8.2,"39,741"
I Am a Killer,2018,TV-MA,52 min,"Documentary, Crime",7.4,"4,287"
Baby,2018,TV-MA,43 min,Drama,7.9,164
Baby,2018,TV-MA,51 min,Drama,7.8,168
Baby,2018,TV-MA,49 min,Drama,7.6,170
Baby,2018,TV-MA,49 min,Drama,7.5,188
The House of Flowers,2018,TV-MA,30 min,"Comedy, Drama",8.3,74
Hi Score Girl,2018,TV-PG,25 min,"Animation, Comedy, Romance",7.7,45
Safe,2018,TV-MA,356 min,"Crime, Drama, Mystery",7.2,"43,443"
Dirty John,2018,TV-14,44 min,"Crime, Drama",7.2,"21,809"
To All the Boys I've Loved Before,2018,TV-14,99 min,"Comedy, Drama, Romance",7.0,"107,043"
The Rain,2018,TV-MA,42 min,"Drama, Sci-Fi, Thriller",7.3,668
The Rain,2018,TV-MA,43 min,"Drama, Sci-Fi, Thriller",6.9,572
The Rain,2018,TV-MA,48 min,"Drama, Sci-Fi, Thriller",6.7,563
The Rain,2018,TV-MA,41 min,"Drama, Sci-Fi, Thriller",6.6,574
The Rain,2018,TV-MA,46 min,"Drama, Sci-Fi, Thriller",6.9,605
Set It Up,2018,TV-14,105 min,"Comedy, Romance",6.5,"53,464"
Sacred Games,2018,TV-MA,50 min,"Action, Crime, Drama",8.5,"87,403"
On My Block,2018,TV-14,32 min,"Comedy, Drama",8.0,216
How It Ends,2018,TV-MA,113 min,"Action, Drama, Mystery",5.0,"53,299"
The Little Mermaid,2018,PG,85 min,"Adventure, Drama, Fantasy",4.2,"9,050"
MILF,2018,TV-MA,101 min,Comedy,4.8,"6,369"
Roma,2018,R,135 min,Drama,7.7,"157,396"
The Guernsey Literary and Potato Peel Pie Society,2018,TV-14,124 min,"Drama, Romance, War",7.3,"46,544"
Hi Score Girl,2018,TV-PG,25 min,"Animation, Comedy, Romance",7.8,47
Ghoul,2018,TV-MA,45 min,"Drama, Fantasy, Horror",7.0,"14,055"
Dany Boon: Des Hauts-De-France,2018,TV-MA,113 min,Comedy,6.2,97
Thriller,2018,TV-MA,87 min,"Crime, Drama, Horror",3.6,"1,223"
Derren Brown: Sacrifice,2018,TV-14,49 min,Reality-TV,7.1,"1,836"
Karakai Jouzu no Takagi-san,2018,TV-PG,23 min,"Animation, Comedy, Romance",7.7,"2,227"
Your Son,2018,TV-MA,103 min,"Adventure, Drama, Thriller",6.1,"4,928"
How to Get Over a Breakup,2018,TV-MA,104 min,Comedy,6.1,"2,028"
Back Street Girls,2018,TV-MA,24 min,"Animation, Comedy",6.7,872
The Legacy of a Whitetail Deer Hunter,2018,TV-14,83 min,"Comedy, Drama",5.5,"3,950"
6 Balloons,2018,TV-MA,74 min,Drama,5.9,"4,205"
Sunderland 'Til I Die,2018,TV-MA,39 min,"Documentary, Sport",8.1,"8,352"
3Below: Tales of Arcadia,2018,TV-Y7,22 min,"Animation, Action, Adventure",8.4,162
Seth Rogen's Hilarity for Charity,2018,TV-MA,70 min,Comedy,5.0,"2,395"
If I Hadn't Met You,2018,TV-MA,60 min,"Drama, Fantasy, Romance",7.5,"2,491"
Titans,2018,TV-MA,50 min,"Action, Adventure, Crime",5.6,"3,492"
Black Earth Rising,2018,TV-MA,60 min,Thriller,7.4,"4,982"
Love Per Square Foot,2018,TV-14,133 min,"Comedy, Romance",7.2,"8,432"
3Below: Tales of Arcadia,2018,TV-Y7,22 min,"Animation, Action, Adventure",7.8,165
On My Skin: The Last Seven Days of Stefano Cucchi,2018,TV-MA,100 min,"Biography, Drama",7.3,"9,389"
May the Devil Take You,2018,TV-MA,110 min,"Horror, Mystery, Thriller",5.9,"4,369"
Gun City,2018,TV-MA,126 min,"Crime, History, Thriller",6.3,"3,970"
Perdida,2018,TV-MA,103 min,"Crime, Drama, Mystery",5.6,"4,915"
Busted!,2018,TV-14,90 min,"Comedy, Reality-TV",7.6,951
My Secret Terrius,2018,TV-14,35 min,"Comedy, Drama, Romance",7.6,"1,284"
Evil Genius: The True Story of America's Most Diabolical Bank Heist,2018,TV-MA,192 min,"Documentary, Crime",7.5,"28,419"
ReBoot: The Guardian Code,2018,TV-Y7-FV,30 min,"Action, Comedy, Drama",3.8,"1,213"
The Drug King,2018,Not Rated,139 min,"Action, Crime, Drama",6.2,"3,235"
Modest Heroes,2018,PG,53 min,"Animation, Adventure, Family",6.6,"2,745"
Monogamy,2018,TV-MA,30 min,Drama,6.4,460
Standup and Away! with Brian Regan,2018,TV-PG,24 min,Comedy,5.7,402
Elite,2018,TV-MA,51 min,"Crime, Drama, Thriller",8.4,"1,200"
The House of Flowers,2018,TV-MA,33 min,"Comedy, Drama",7.8,144
Hanebado: The Badminton Play of Ayano Hanesaki!,2018,TV-14,24 min,"Animation, Drama, Sport",6.3,362
Bad Seeds,2018,TV-MA,100 min,Comedy,7.3,"5,593"
The House of Flowers,2018,TV-MA,36 min,"Comedy, Drama",6.5,130
The Land of Steady Habits,2018,TV-MA,98 min,"Comedy, Drama",6.2,"7,859"
Thieves of the Wood,2018,TV-MA,45 min,"Adventure, Drama, History",6.8,"2,678"
Trolls: The Beat Goes On!,2018,TV-G,25 min,"Animation, Short, Adventure",5.8,817
Hero Mask,2018,TV-14,24 min,"Animation, Action, Crime",6.7,10
Animal World,2018,Not Rated,132 min,"Action, Fantasy, Sci-Fi",6.4,"4,551"
Dark Tourist,2018,TV-MA,40 min,Documentary,7.5,"7,418"
Jim Jefferies: This Is Me Now,2018,TV-MA,70 min,Comedy,7.4,"4,095"
The Holiday Calendar,2018,TV-PG,95 min,"Comedy, Drama, Fantasy",5.7,"10,178"
Loudon Wainwright III: Surviving Twin,2018,TV-14,91 min,"Documentary, Music",7.1,96
An Interview with God,2018,Unrated,97 min,"Drama, Mystery",5.8,"4,045"
The Mechanism,2018,TV-MA,41 min,"Crime, Drama, Thriller",8.0,"36,200"
First Match,2018,TV-MA,102 min,"Drama, Sport",6.4,"2,308"
7 Guardians of the Tomb,2018,TV-MA,90 min,"Action, Adventure, Horror",4.4,"4,239"
B: The Beginning,2018,TV-MA,25 min,"Animation, Action, Crime",7.1,"4,983"
Nappily Ever After,2018,TV-MA,98 min,"Comedy, Drama, Romance",6.4,"9,274"
Aggretsuko,2018,TV-14,15 min,"Animation, Comedy, Drama",8.0,"6,294"
Larva Island,2018,TV-Y7,8 min,"Animation, Adventure, Comedy",6.5,431
Hero Mask,2018,TV-14,24 min,"Animation, Action, Crime",6.5,11
Deadly Runway,2018,TV-14,90 min,"Drama, Horror",4.5,199
Curtiz,2018,TV-MA,98 min,"Biography, Drama, History",6.0,"1,083"
Katt Williams: Great America,2018,TV-MA,60 min,Comedy,6.2,"1,002"
Paskal,2018,TV-14,115 min,"Action, Adventure, Drama",6.5,"3,074"
Christmas with a View,2018,TV-PG,91 min,"Drama, Romance",5.1,"4,607"
Banana Split,2018,R,88 min,Comedy,6.2,"3,427"
Greg Davies: You Magnificent Beast,2018,TV-MA,66 min,Comedy,7.1,"2,427"
3Below: Tales of Arcadia,2018,TV-Y7,22 min,"Animation, Action, Adventure",7.8,171
3Below: Tales of Arcadia,2018,TV-Y7,22 min,"Animation, Action, Adventure",7.0,158
Springsteen on Broadway,2018,TV-MA,153 min,"Documentary, Music",8.5,"2,230"
Magic for Humans,2018,TV-PG,23 min,"Comedy, Reality-TV",7.2,"3,415"
Amateur,2018,TV-MA,96 min,"Drama, Sport",5.9,"4,547"
Bayonet,2018,TV-MA,101 min,"Drama, Sport",5.6,570
Misty,2018,TV-MA,60 min,"Drama, Mystery, Romance",8.0,664
3Below: Tales of Arcadia,2018,TV-Y7,23 min,"Animation, Action, Adventure",8.1,162
Wild District,2018,TV-MA,45 min,"Action, Crime, Drama",8.1,"1,949"
Fariña,2018,TV-MA,95 min,"Crime, Drama, Thriller",7.9,"3,959"
Devils Line,2018,TV-MA,24 min,"Animation, Action, Crime",6.8,"1,247"
Lara and the Beat,2018,TV-MA,137 min,"Drama, Music, Romance",5.8,150
Close Enemies,2018,TV-MA,111 min,"Drama, Thriller",6.4,"2,698"
Cracked Up,2018,TV-MA,95 min,Documentary,7.3,795
Battlefish,2018,TV-MA,42 min,Reality-TV,7.1,451
What Keeps You Alive,2018,R,98 min,"Horror, Thriller",5.7,"8,784"
Salam - The First ****** Nobel Laureate,2018,Approved,75 min,Documentary,7.8,425
The Most Assassinated Woman in the World,2018,TV-MA,102 min,"Biography, Drama, Mystery",5.3,"1,104"
The Hollow,2018,TV-Y7-FV,24 min,"Animation, Drama, Family",7.2,"4,382"
Medal of Honor,2018,TV-MA,60 min,"Documentary, War",8.2,"1,742"
3Below: Tales of Arcadia,2018,TV-Y7,22 min,"Animation, Action, Adventure",7.4,160
Hero Mask,2018,TV-14,24 min,"Animation, Action, Crime",6.7,11
Diablero,2018,TV-MA,40 min,"Adventure, Drama, Fantasy",6.7,"2,615"
First Impression,2018,Not Rated,96 min,Comedy,5.1,155
Hero Mask,2018,TV-14,24 min,"Animation, Action, Crime",6.5,11
Hero Mask,2018,TV-14,24 min,"Animation, Action, Crime",6.6,11
Hero Mask,2018,TV-14,24 min,"Animation, Action, Crime",6.6,12
3Below: Tales of Arcadia,2018,TV-Y7,22 min,"Animation, Action, Adventure",7.4,161
Hero Mask,2018,TV-14,24 min,"Animation, Action, Crime",6.5,12
Lady J,2018,TV-14,109 min,"Drama, Romance",6.8,"3,500"
Accidentally in Love,2018,TV-14,30 min,"Drama, Music, Musical",7.4,"1,177"
The World Is Yours,2018,TV-MA,102 min,"Comedy, Crime",6.3,"4,426"
3Below: Tales of Arcadia,2018,TV-Y7,22 min,"Animation, Action, Adventure",7.6,163
3Below: Tales of Arcadia,2018,TV-Y7,22 min,"Animation, Action, Adventure",7.0,159
3Below: Tales of Arcadia,2018,TV-Y7,22 min,"Animation, Action, Adventure",8.4,168
Pulang,2018,TV-14,120 min,Drama,6.7,600
Hero Mask,2018,TV-14,24 min,"Animation, Action, Crime",6.1,16
Hero Mask,2018,TV-14,24 min,"Animation, Action, Crime",6.6,15
Mercury 13,2018,TV-PG,78 min,Documentary,6.9,"1,196"
The Epic Tales of Captain Underpants,2018,TV-Y7,24 min,"Animation, Short, Action",6.6,954
The Rise of Phoenixes,2018,TV-14,60 min,"Drama, History, Romance",8.4,"1,535"
Chip and Potato,2018,TV-Y,23 min,"Animation, Adventure, Comedy",6.4,167
Harvey Girls Forever!,2018,TV-Y7,23 min,"Animation, Short, Adventure",6.7,258
The Innocent Man,2018,TV-MA,284 min,"Documentary, Crime",7.3,"6,032"
Love Island Australia,2018,TV-MA,50 min,Reality-TV,5.4,652
Acts of Violence,2018,R,86 min,"Action, Crime, Thriller",5.3,"12,447"
Mirai,2018,PG,98 min,"Animation, Adventure, Drama",7.0,"15,916"
Marlon Wayans: Woke-ish,2018,TV-MA,68 min,"Documentary, Comedy",6.5,"1,426"
Franco Escamilla: Por la anécdota,2018,TV-MA,66 min,Comedy,6.9,326
Ali Wong: Hard Knock Wife,2018,TV-MA,64 min,Comedy,7.3,"5,030"
Ingress: The Animation,2018,TV-MA,24 min,"Animation, Action, Sci-Fi",6.5,542
Requiem,2018,TV-MA,60 min,"Drama, Fantasy, Mystery",6.4,"6,717"
Kulari ke Pantai,2018,TV-G,112 min,"Adventure, Comedy, Family",7.7,253
The Mire,2018,TV-MA,50 min,"Crime, Drama, Thriller",7.0,"4,460"
Stree,2018,Not Rated,128 min,"Comedy, Horror",7.5,"33,919"
Father of the Year,2018,TV-14,94 min,Comedy,5.2,"11,676"
Elvis Presley: The Searcher,2018,TV-PG,205 min,"Documentary, Biography, Music",7.7,"2,427"
Natale a 5 stelle,2018,TV-14,92 min,Comedy,4.5,778
A Twelve-Year Night,2018,TV-MA,122 min,"Adventure, Biography, Crime",7.5,"10,022"
"My Teacher, My Obsession",2018,TV-14,90 min,"Drama, Thriller",4.4,"2,407"
No Estoy Loca,2018,TV-MA,116 min,"Comedy, Drama",5.8,935
The Hookup Plan,2018,TV-MA,27 min,"Comedy, Romance",7.1,"5,465"
The Boss Baby: Back in Business,2018,TV-Y7,25 min,"Animation, Adventure, Comedy",6.4,"3,810"
Angels of Death,2018,TV-14,24 min,"Animation, Adventure, Horror",6.4,"2,152"
Yeh Meri Family,2018,TV-14,30 min,"Comedy, Drama, Family",9.1,"23,865"
Netflix Acquires Seth Rogen,2018,TV-MA,6 min,"Short, Comedy",4.9,173
Jefe,2018,TV-MA,89 min,Comedy,5.4,"1,113"
The Bletchley Circle: San Francisco,2018,TV-14,45 min,"Crime, Drama, History",6.8,"2,583"
The Break with Michelle Wolf,2018,TV-MA,25 min,"Comedy, Talk-Show",5.2,"1,886"
13 Reasons Why: Season 2 Date Announcement Commercial,2018,Not Rated,1 min,"Short, Drama",7.2,260
St. Agatha,2018,TV-MA,103 min,"Horror, Thriller",4.9,"5,824"
Det som göms i snö,2018,TV-14,43 min,"Crime, Drama, Mystery",7.4,"2,938"
The A List,2018,TV-14,25 min,"Crime, Drama, Mystery",5.4,"2,968"
Private Life,2018,R,123 min,"Comedy, Drama",7.2,"19,832"
Acrimony,2018,R,120 min,"Horror, Romance, Thriller",5.8,"8,922"
Like Father,2018,TV-MA,98 min,"Comedy, Drama",6.1,"21,599"
Steins;Gate 0,2018,TV-14,30 min,"Animation, Drama, Mystery",8.4,"9,123"
Champions,2018,TV-14,30 min,Comedy,6.0,"3,940"
Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,2018,TV-14,74 min,Comedy,7.1,"2,741"
1983,2018,TV-MA,60 min,"Crime, Drama, Thriller",6.7,"4,208"
Hakyu Hoshin Engi,2018,TV-PG,23 min,"Animation, Action, Adventure",6.0,34
Good Girls,2018,TV-14,42 min,"Comedy, Crime, Drama",7.9,543
Down a Dark Hall,2018,PG-13,96 min,"Drama, Fantasy, Horror",5.0,"14,368"
The Innocents,2018,TV-MA,60 min,"Drama, Horror, Mystery",6.2,"5,884"
3Below: Tales of Arcadia,2018,TV-Y7-FV,24 min,"Animation, Action, Adventure",7.7,"6,264"
Nothing to Hide,2018,TV-MA,90 min,"Comedy, Drama",6.8,"15,405"
The Angel,2018,TV-MA,114 min,"Action, Biography, Drama",6.6,"14,291"
Happy as Lazzaro,2018,PG-13,128 min,"Drama, Fantasy, Mystery",7.5,"18,327"
Candy Jar,2018,TV-14,92 min,Comedy,5.8,"5,180"
Edge of Fear,2018,Not Rated,91 min,"Action, Crime, Thriller",4.5,"3,257"
A Fortunate Man,2018,TV-14,162 min,"Drama, Romance",7.2,"6,337"
I Still See You,2018,PG-13,98 min,"Fantasy, Horror, Sci-Fi",5.8,"10,264"
Seeing Allred,2018,TV-14,96 min,"Documentary, Biography",7.2,"1,389"
Kiss Me First,2018,TV-MA,46 min,"Drama, Mystery, Sci-Fi",6.2,"3,972"
Yasamayanlar,2018,TV-MA,60 min,"Drama, Fantasy",4.8,"3,325"
The Princess Switch,2018,TV-PG,101 min,"Comedy, Drama, Family",6.0,"28,116"
The Curious Creations of Christine McConnell,2018,TV-PG,26 min,"Comedy, Horror, Talk-Show",7.7,"2,432"
