title,year released,certificate,duration,genre,rating,votes
Are You Afraid of the Dark?,1990,TV-PG,30 min,"Drama, Fantasy, Horror",8.2,"15,062"
Tim Allen: Men Are Pigs,1990,Not Rated,30 min,"Documentary, Comedy",6.1,364
Awakenings,1990,PG-13,121 min,"Biography, Drama",7.8,"141,037"
Ghost,1990,PG-13,127 min,"Drama, Fantasy, Romance",7.1,"216,532"
Young Guns II,1990,PG-13,104 min,"Action, Western",6.5,"36,404"
Tim Allen Rewires America,1991,Not Rated,30 min,"Documentary, Comedy",6.0,200
The Sam Kinison Family Entertainment Hour,1991,Not Rated,50 min,"Documentary, Comedy, Music",6.6,284
Robin Hood: Prince of Thieves,1991,PG-13,143 min,"Action, Adventure, Drama",6.9,"193,725"
Beauty and the Beast,1991,G,84 min,"Animation, Family, Fantasy",8.0,"452,086"
Only Yesterday,1991,PG,119 min,"Animation, Drama, Romance",7.6,"32,519"
Shinchan,1992,TV-PG,25 min,"Animation, Comedy, Family",8.4,969
Yu Yu Hakusho: Ghost Files,1992,TV-PG,24 min,"Animation, Action, Adventure",8.5,"13,711"
Bill Hicks: Relentless,1992,Not Rated,61 min,"Documentary, Comedy",8.5,"2,555"
Porco Rosso,1992,PG,94 min,"Animation, Adventure, Comedy",7.7,"89,540"
Malcolm X,1992,PG-13,202 min,"Biography, Drama, History",7.7,"94,756"
Tales of the City,1993,Unrated,360 min,"Drama, Mystery, Romance",8.3,"4,085"
Gumrah,1993,Not Rated,149 min,"Action, Crime, Drama",6.1,809
The Firm,1993,R,154 min,"Drama, Mystery, Thriller",6.8,"135,029"
Ocean Waves,1993,PG-13,76 min,"Animation, Drama, Romance",6.6,"17,307"
The Wiggles,1993,TV-Y,30 min,"Adventure, Comedy, Family",5.8,926
Ethan Frome,1993,PG,99 min,"Drama, Romance",6.2,"2,166"
Bill Hicks: Revelations,1993,Not Rated,57 min,"Documentary, Comedy",8.5,"3,109"
Geronimo: An American Legend,1993,PG-13,115 min,"Drama, History, Western",6.5,"11,903"
Mighty Morphin Power Rangers,1993,TV-Y7,30 min,"Action, Adventure, Family",6.5,"22,310"
Star Trek: Deep Space Nine,1993,TV-PG,45 min,"Action, Adventure, Drama",8.1,"62,898"
Jurassic Park,1993,PG-13,127 min,"Action, Adventure, Sci-Fi",8.2,"978,402"
Friends,1994,TV-14,22 min,"Comedy, Romance",8.9,"979,424"
Party of Five,1994,TV-PG,60 min,"Drama, Family",6.8,"10,431"
V.R. Troopers,1994,TV-Y7,30 min,"Action, Adventure, Family",5.6,"1,041"
Friends,1994,TV-14,22 min,"Comedy, Romance",8.9,"979,428"
The Client,1994,PG-13,119 min,"Crime, Drama, Mystery",6.7,"66,825"
Thumbelina,1994,G,86 min,"Animation, Adventure, Family",6.2,"17,338"
Pom Poko,1994,PG,119 min,"Animation, Comedy, Drama",7.3,"30,155"
Heartbreak High,1994,TV-MA,50 min,"Drama, Romance",7.8,"3,208"
Where on Earth Is Carmen Sandiego?,1994,TV-Y7,21 min,"Animation, Action, Adventure",7.2,"1,993"
The Legend of Drunken Master,1994,R,102 min,"Action, Comedy",7.5,"46,202"
Léon: The Professional,1994,R,110 min,"Action, Crime, Drama",8.5,"1,147,345"
The Quick and the Dead,1995,R,108 min,"Action, Romance, Thriller",6.5,"94,644"
Goosebumps,1995,TV-Y7,22 min,"Fantasy, Horror, Mystery",7.6,"13,649"
Desperado,1995,R,104 min,"Action, Crime, Thriller",7.1,"186,134"
Graffiti Verité,1995,Not Rated,45 min,"Documentary, Drama, Family",5.9,29
High Risk,1995,R,101 min,"Action, Comedy, Crime",6.0,"4,326"
Star Trek: Voyager,1995,TV-PG,44 min,"Action, Adventure, Sci-Fi",7.8,"69,047"
Clueless,1995,PG-13,97 min,"Comedy, Romance",6.9,"216,233"
Waterworld,1995,PG-13,177 min,"Action, Adventure, Sci-Fi",6.2,"196,460"
Neon Genesis Evangelion,1995,TV-MA,24 min,"Animation, Action, Drama",8.5,"68,559"
Whisper of the Heart,1995,G,111 min,"Animation, Drama, Family",7.9,"62,536"
Tommy Boy,1995,PG-13,97 min,"Adventure, Comedy",7.1,"87,921"
