title,year released,certificate,duration_min,genre ,rating,votes,age
Robin Hood: Prince of Thieves,1991,PG-13,143,Action,6.9,"193,725",31
Beauty and the Beast,1991,G,84,Animation,8,"452,086",31
Only Yesterday,1991,PG,119,Animation,7.6,"32,519",31
Shinchan,1992,TV-PG,25,Animation,8.4,969,30
Yu Yu Hakusho: Ghost Files,1992,TV-PG,24,Animation,8.5,"13,711",30
Bill Hicks: Relentless,1992,Not Rated,61,Documentary,8.5,"2,555",30
Porco Rosso,1992,PG,94,Animation,7.7,"89,540",30
Malcolm X,1992,PG-13,202,Biography,7.7,"94,756",30
Tales of the City,1993,Unrated,360,Drama,8.3,"4,085",29
Gumrah,1993,Not Rated,149,Action,6.1,809,29
The Firm,1993,R,154,Drama,6.8,"135,029",29
Ocean Waves,1993,PG-13,76,Animation,6.6,"17,307",29
The Wiggles,1993,TV-Y,30,Adventure,5.8,926,29
Ethan Frome,1993,PG,99,Drama,6.2,"2,166",29
Bill Hicks: Revelations,1993,Not Rated,57,Documentary,8.5,"3,109",29
Geronimo: An American Legend,1993,PG-13,115,Drama,6.5,"11,903",29
Mighty Morphin Power Rangers,1993,TV-Y7,30,Action,6.5,"22,310",29
Star Trek: Deep Space Nine,1993,TV-PG,45,Action,8.1,"62,898",29
Jurassic Park,1993,PG-13,127,Action,8.2,"978,402",29
Friends,1994,TV-14,22,Comedy,8.9,"979,424",28
Party of Five,1994,TV-PG,60,Drama,6.8,"10,431",28
V.R. Troopers,1994,TV-Y7,30,Action,5.6,"1,041",28
Friends,1994,TV-14,22,Comedy,8.9,"979,428",28
The Client,1994,PG-13,119,Crime,6.7,"66,825",28
Thumbelina,1994,G,86,Animation,6.2,"17,338",28
Pom Poko,1994,PG,119,Animation,7.3,"30,155",28
Heartbreak High,1994,TV-MA,50,Drama,7.8,"3,208",28
Where on Earth Is Carmen Sandiego?,1994,TV-Y7,21,Animation,7.2,"1,993",28
The Legend of Drunken Master,1994,R,102,Action,7.5,"46,202",28
Léon: The Professional,1994,R,110,Action,8.5,"1,147,345",28
The Quick and the Dead,1995,R,108,Action,6.5,"94,644",27
Goosebumps,1995,TV-Y7,22,Fantasy,7.6,"13,649",27
Desperado,1995,R,104,Action,7.1,"186,134",27
Graffiti Verité,1995,Not Rated,45,Documentary,5.9,29,27
High Risk,1995,R,101,Action,6,"4,326",27
Star Trek: Voyager,1995,TV-PG,44,Action,7.8,"69,047",27
Clueless,1995,PG-13,97,Comedy,6.9,"216,233",27
Waterworld,1995,PG-13,177,Action,6.2,"196,460",27
Neon Genesis Evangelion,1995,TV-MA,24,Animation,8.5,"68,559",27
Whisper of the Heart,1995,G,111,Animation,7.9,"62,536",27
Tommy Boy,1995,PG-13,97,Adventure,7.1,"87,921",27
101 Dalmatians,1996,G,103,Adventure,5.7,"111,407",26
Manny & Lo,1996,R,88,Comedy,6.6,"2,096",26
Tremors II: Aftershocks,1996,PG-13,100,Action,5.9,"30,635",26
Moesha,1996,TV-PG,30,Comedy,5.8,"3,798",26
3rd Rock from the Sun,1996,TV-PG,60,Comedy,7.8,"52,455",26
Mars Attacks!,1996,PG-13,106,Comedy,6.4,"227,173",26
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,R,89,Comedy,6.5,"55,787",26
Pokémon,1997,TV-Y7,24,Animation,7.5,"42,922",25
Princess Mononoke,1997,PG-13,134,Animation,8.4,"390,689",25
Contact,1997,PG,150,Drama,7.5,"274,308",25
B*A*P*S,1997,PG-13,91,Comedy,4.6,"5,488",25
Perfect Blue,1997,R,81,Animation,8,"75,641",25
Double Team,1997,R,93,Action,4.8,"34,662",25
South Park,1997,TV-14,22,Animation,8.7,"366,394",25
Kipper,1997,TV-Y,47,Animation,7,967,25
Titanic,1997,PG-13,194,Drama,7.9,"1,158,746",25
Pokémon,1997,TV-Y7-FV,25,Animation,8.2,191,25
Neon Genesis Evangelion: The End of Evangelion,1997,TV-MA,87,Animation,8,"54,347",25
Pokémon,1997,TV-Y,22,Animation,6.7,79,25
Oggy and the Cockroaches,1997,TV-Y,8,Animation,7.4,"4,363",25
Pokémon,1997,TV-Y,22,Animation,6.1,105,25
Neon Genesis Evangelion: Death & Rebirth,1997,Not Rated,101,Animation,7.3,"14,298",25
The Devil's Own,1997,R,111,Action,6.2,"66,112",25
As Good as It Gets,1997,PG-13,139,Comedy,7.7,"298,034",25
The Lost World: Jurassic Park,1997,PG-13,129,Action,6.5,"416,716",25
Bongwater,1998,R,97,Comedy,5.3,"4,434",24
Monty Python's Flying Circus: Live at Aspen,1998,Not Rated,58,Documentary,7.8,"1,103",24
The Challenge,1998,TV-14,60,Adventure,7.8,"3,454",24
Trigun,1998,TV-14,24,Animation,8.2,"21,805",24
More Tales of the City,1998,TV-MA,330,Drama,7.9,"1,862",24
That '70s Show,1998,TV-14,22,Comedy,8.1,"169,768",24
Orphen,1998,TV-PG,25,Animation,7.1,266,24
Will & Grace,1998,TV-14,22,Comedy,7.3,"55,858",24
Cardcaptor Sakura,1998,TV-Y7-FV,30,Animation,8,"5,077",24
Mercury Rising,1998,R,111,Action,6.1,"74,419",24
Dawson's Creek,1998,TV-14,60,Drama,6.8,"41,567",24
There's Something About Mary,1998,R,119,Comedy,7.1,"311,136",24
Cowboy Bebop,1998,TV-14,24,Animation,8.9,"117,843",24
Rurouni Kenshin: Trust and Betrayal,1999,TV-MA,118,Animation,8.6,"14,840",23
Great Teacher Onizuka,1999,TV-MA,24,Animation,8.5,"9,298",23
Grand Designs,1999,TV-G,50,Documentary,8.5,"3,181",23
My Neighbors the Yamadas,1999,PG,104,Animation,7.1,"14,293",23
Evicted,1999,R,99,Comedy,3.8,83,23
The King and I,1999,G,87,Animation,4.3,"4,138",23
Herod's Law,1999,R,123,Comedy,7.8,"6,171",23
Family Guy,1999,TV-MA,22,Animation,8.2,"334,757",23
Freaks and Geeks,1999,TV-14,44,Comedy,8.8,"142,164",23
American Psycho,2000,R,102,Crime,7.6,"598,117",22
Gladiator,2000,R,155,Action,8.5,"1,481,531",22
Gilmore Girls,2000,TV-PG,44,Comedy,8.2,"124,089",22
The Emperor's New Groove,2000,G,78,Animation,7.4,"203,092",22
Gilmore Girls,2000,TV-PG,44,Comedy,8.2,"124,087",22
CSI: Crime Scene Investigation,2000,TV-14,60,Crime,7.7,"83,833",22
Inuyasha,2000,TV-14,24,Animation,7.9,"16,398",22
Sherina's Adventure,2000,TV-G,112,Adventure,7.8,830,22
All the Queen's Men,2001,PG-13,99,Action,4.7,"2,669",21
Hellsing,2001,TV-MA,23,Animation,7.8,"16,481",21
Serendipity,2001,PG-13,90,Comedy,6.8,"113,554",21
Kevin James: Sweat the Small Stuff,2001,TV-PG,60,Documentary,7.4,"1,096",21
Jimmy Neutron: Boy Genius,2001,G,82,Animation,6,"34,860",21
Star Trek: Enterprise,2001,TV-PG,60,Action,7.5,"53,374",21
Trailer Park Boys,2001,TV-MA,30,Comedy,8.6,"43,638",21
The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178,Action,8.8,"1,844,055",21
Jurassic Park III,2001,PG-13,92,Action,5.9,"321,937",21
Further Tales of the City,2001,TV-MA,180,Drama,7.6,"1,568",21
Moonbeams,2001,Not Rated,81,Drama,8.1,10,21
Chandni Bar,2001,Not Rated,150,Crime,7.6,"2,650",21
Spirited Away,2001,PG,125,Animation,8.6,"751,180",21
The Blue Planet,2001,TV-G,49,Documentary,8,630,21
The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178,Action,8.8,"1,844,075",21
