title,year released,certificate,duration_min,genre ,rating,votes,age
Bethany Hamilton: Unstoppable,2018,PG,100,Documentary,7.4,760,4
The Laws of Thermodynamics,2018,TV-MA,100,Comedy,6,"2,791",4
Tamborine,2018,TV-MA,98,Comedy,6.6,"7,036",4
Time Share,2018,TV-MA,96,Drama,5.9,"2,829",4
Spivak,2018,TV-MA,91,Comedy,5.6,762,4
Can You Hear Me,2018,TV-MA,30,Comedy,7.7,726,4
The Final Table,2018,TV-PG,60,Reality-TV,7.6,"4,255",4
Prince of Peoria,2018,TV-Y7,25,Comedy,5.9,492,4
Take Your Pills,2018,TV-14,87,Documentary,6.3,"5,207",4
Sugar Rush,2018,TV-PG,47,Game-Show,7.2,37,4
The Warning,2018,TV-MA,92,Adventure,5.9,"6,425",4
Super Drags,2018,TV-MA,30,Animation,5.4,"1,799",4
Trevor Noah: Son of Patricia,2018,TV-MA,63,Comedy,7.3,"4,152",4
The Last Runway,2018,TV-MA,107,Action,5.9,739,4
All Is Well,2018,TV-MA,90,Drama,6.5,"1,453",4
Drug Lords,2018,TV-MA,42,Documentary,6.8,"1,360",4
American Dreamer,2018,R,92,Crime,6.2,976,4
And Breathe Normally,2018,TV-14,95,Drama,6.9,"3,122",4
Fugitiva,2018,TV-MA,60,Drama,5.6,677,4
Dragon Pilot: Hisone and Masotan,2018,TV-14,30,Animation,6.9,508,4
Sugar Rush,2018,TV-PG,50,Game-Show,6,27,4
Daniel Sloss: Live Shows,2018,TV-MA,118,Comedy,8.5,"3,569",4
Never Stop Dreag: The Life and Legacy of Shimon Peres,2018,TV-14,129,Documentary,6.7,252,4
Hero Mask,2018,TV-14,25,Animation,6.2,692,4
The Plagues of Breslau,2018,TV-MA,110,Action,5.9,"5,084",4
Bakugan: Battle Planet,2018,TV-Y7-FV,24,Animation,4.7,234,4
Pinky Malinky,2018,TV-Y7,12,Animation,5.5,"1,061",4
Death by Magic,2018,TV-14,35,Reality-TV,6.1,656,4
SSSS.Gridman,2018,TV-14,23,Animation,7,697,4
Struggle: The Life and Lost Art of Szukalski,2018,TV-MA,115,Documentary,7.9,"4,272",4
Hope Frozen,2018,TV-PG,75,Documentary,6.6,538,4
Llama Llama,2018,TV-Y,24,Animation,6.1,274,4
44 Cats,2018,TV-Y7,13,Animation,6,290,4
Zombieland Saga,2018,TV-MA,24,Animation,7.1,"1,204",4
Come Sunday,2018,TV-14,106,Biography,6,"2,328",4
A Little Help with Carol Burnett,2018,TV-G,23,Talk-Show,6.3,240,4
Dovlatov,2018,PG-13,126,Biography,6.4,"2,027",4
Pachamama,2018,PG,72,Animation,6.8,892,4
Best. Worst. Weekend. Ever.,2018,TV-PG,191,Comedy,6.3,315,4
They'll Love Me When I'm Dead,2018,TV-MA,98,Documentary,7.4,"5,097",4
Sugar Rush,2018,TV-PG,47,Game-Show,7.4,25,4
Seven in Heaven,2018,PG-13,94,Drama,5.3,"2,748",4
Cek Toko Sebelah: The Series,2018,TV-14,22,Comedy,7.7,145,4
The Revenge of Robert the Doll,2018,Not Rated,80,Horror,2.6,775,4
Whitney,2018,R,120,Documentary,7.3,"7,413",4
John Mulaney: Kid Gorgeous at Radio City,2018,TV-MA,65,Comedy,7.9,"8,027",4
The Fix,2018,TV-MA,30,Comedy,7,"1,986",4
Lionheart,2018,TV-PG,95,Comedy,5.7,"1,488",4
Sunday's Illness,2018,PG-13,113,Drama,6.9,"3,619",4
Hilda,2018,TV-Y7,23,Animation,7.8,307,4
Elite,2018,TV-MA,46,Crime,8.3,"1,157",4
She-Ra and the Princesses of Power,2018,TV-Y7,24,Animation,8.6,"1,108",4
James Acaster: Repertoire,2018,TV-MA,205,Comedy,8.4,"3,826",4
Blood Brother,2018,R,90,Action,4.4,"1,052",4
The Trader,2018,TV-PG,23,Documentary,6.7,"2,930",4
Silencer,2018,Not Rated,88,Drama,3.8,"1,142",4
Sugar Rush,2018,TV-PG,50,Game-Show,7.8,30,4
She-Ra and the Princesses of Power,2018,TV-Y7,24,Animation,8.4,"1,097",4
Elite,2018,TV-MA,50,Crime,8.1,"1,142",4
She-Ra and the Princesses of Power,2018,TV-Y7,24,Animation,8.3,"1,040",4
She-Ra and the Princesses of Power,2018,TV-Y7,24,Animation,8.2,"1,041",4
7 Days Out,2018,TV-PG,48,Documentary,6.8,561,4
Nailed It! Holiday!,2018,TV-PG,31,Reality-TV,7.7,"1,115",4
She-Ra and the Princesses of Power,2018,TV-Y7,24,Animation,7.9,"1,010",4
Sugar Rush,2018,TV-PG,50,Game-Show,7.4,27,4
Godzilla: The Planet Eater,2018,TV-14,91,Animation,5,"4,259",4
"Abby Hatcher, Fuzzly Catcher",2018,TV-Y,23,Animation,5.4,187,4
Sugar Rush,2018,TV-PG,49,Game-Show,7.8,25,4
My Christmas Inn,2018,TV-G,100,Comedy,5.6,"2,247",4
Cobra Kai,2018,TV-14,30,Action,8.5,"177,031",4
Then Came You,2018,Not Rated,97,Adventure,6.9,"12,727",4
Nicky Jam: El Ganador,2018,Not Rated,45,Biography,7.7,"1,170",4
Tidelands,2018,TV-MA,60,Crime,6.8,"8,030",4
Hi Score Girl,2018,TV-PG,25,Animation,7.1,50,4
Extinction,2018,TV-MA,95,Action,5.8,"53,157",4
Bonding,2018,TV-MA,17,Comedy,7.1,"16,347",4
The Bureau of Magical Things,2018,TV-G,25,Drama,6.8,"2,293",4
A Futile and Stupid Gesture,2018,TV-MA,101,Biography,6.7,"16,339",4
Hold the Dark,2018,TV-MA,125,Action,5.6,"37,393",4
The Good Cop,2018,TV-PG,60,Comedy,6.9,"5,834",4
The Kindergarten Teacher,2018,R,96,Drama,6.7,"16,198",4
Hi Score Girl,2018,TV-PG,25,Animation,7.8,59,4
Skyscraper,2018,PG-13,102,Action,5.8,"122,155",4
Goblin Slayer,2018,TV-MA,30,Animation,7.5,"7,608",4
My Mister,2018,TV-14,70,Drama,9.1,"6,442",4
Rascal Does Not Dream of Bunny Girl Senpai,2018,TV-PG,24,Animation,8.1,"11,696",4
The Clovehitch Killer,2018,Unrated,109,Crime,6.5,"28,019",4
Beirut,2018,R,109,Action,6.4,"22,396",4
The Night Comes for Us,2018,TV-MA,121,Action,6.9,"26,222",4
Black Mirror: Bandersnatch,2018,TV-MA,90,Drama,7.1,"126,454",4
Queer Eye,2018,TV-14,45,Reality-TV,8.5,"18,935",4
Perfume,2018,TV-MA,45,Drama,7,"9,042",4
Darling in the Franxx,2018,TV-14,24,Animation,7.4,"10,062",4
Good Girls,2018,TV-14,42,Comedy,7.7,428,4
"Game Over, Man!",2018,TV-MA,101,Action,5.4,"30,573",4
The Titan,2018,TV-MA,97,Drama,4.8,"31,511",4
Wild Wild Country,2018,TV-MA,403,Documentary,8.1,"31,079",4
She-Ra and the Princesses of Power,2018,TV-Y7,24,Animation,7.7,988,4
She-Ra and the Princesses of Power,2018,TV-Y7,24,Animation,7.9,996,4
She-Ra and the Princesses of Power,2018,TV-Y7,24,Animation,8,"1,017",4
Cocomelon,2018,TV-PG,4,Animation,4.7,635,4
Unauthorized Living,2018,TV-MA,75,Drama,7.4,"4,888",4
Dude,2018,TV-MA,97,Comedy,5.1,"7,134",4
Somebody Feed Phil,2018,TV-14,60,Documentary,8.2,"5,273",4
Collateral,2018,TV-MA,230,Crime,6.7,"18,307",4
Paradise PD,2018,TV-MA,28,Animation,6.8,"19,109",4
She-Ra and the Princesses of Power,2018,TV-Y7,24,Animation,9.2,"1,184",4
She-Ra and the Princesses of Power,2018,TV-Y7,24,Animation,7.6,992,4
She-Ra and the Princesses of Power,2018,TV-Y7,24,Animation,8.6,"1,034",4
She-Ra and the Princesses of Power,2018,TV-Y7,24,Animation,8.6,"1,031",4
The Rain,2018,TV-MA,45,Drama,6.3,"36,959",4
She-Ra and the Princesses of Power,2018,TV-Y7,24,Animation,7.9,983,4
She-Ra and the Princesses of Power,2018,TV-Y7,24,Animation,8.1,983,4
The Dragon Prince,2018,TV-Y7,26,Animation,8.4,"22,684",4
What's Wrong with Secretary Kim,2018,TV-G,60,Comedy,8.1,"12,281",4
Pine Gap,2018,TV-MA,360,Drama,7.1,"5,163",4
Karppi,2018,TV-MA,45,Crime,7.3,"9,473",4
The House of Flowers,2018,TV-MA,35,Comedy,7.5,296,4
Devilman: Crybaby,2018,TV-MA,25,Animation,7.6,"20,303",4
Calibre,2018,TV-MA,101,Drama,6.8,"29,430",4
When We First Met,2018,TV-14,97,Comedy,6.4,"49,438",4
Violet Evergarden,2018,TV-14,24,Animation,8.4,"21,825",4
Wanderlust,2018,TV-MA,60,Drama,7,"5,435",4
Troy: Fall of a City,2018,TV-MA,60,Action,3.9,"14,059",4
Hotel Transylvania 3: Summer Vacation,2018,PG,97,Animation,6.3,"73,751",4
The Perfection,2018,TV-MA,90,Drama,6.2,"43,524",4
She-Ra and the Princesses of Power,2018,TV-Y7-FV,30,Animation,7.9,"15,996",4
22-Jul,2018,R,143,Crime,6.8,"34,106",4
Baby,2018,TV-MA,50,Drama,6.8,"11,399",4
Alexa & Katie,2018,TV-Y7,25,Comedy,7.4,"5,036",4
That Time I Got Reincarnated as a Slime,2018,TV-PG,25,Animation,8.2,"10,271",4
Deadly Class,2018,TV-MA,60,Action,7.5,"17,740",4
Cam,2018,TV-MA,94,Drama,5.9,"32,081",4
Mowgli: Legend of the Jungle,2018,PG-13,104,Adventure,6.5,"62,142",4
On My Block,2018,TV-14,30,Comedy,7.9,"16,542",4
Dumplin',2018,PG-13,110,Comedy,6.5,"34,117",4
Operation Finale,2018,PG-13,122,Biography,6.6,"42,606",4
She-Ra and the Princesses of Power,2018,TV-Y7,24,Animation,8.6,"1,027",4
The New Legends of Monkey,2018,TV-PG,24,Action,6.5,"4,456",4
The House of Flowers,2018,TV-MA,29,Comedy,6.4,130,4
A Vigilante,2018,R,91,Crime,5.7,"9,163",4
Explained,2018,TV-MA,18,Documentary,8,"9,221",4
Watership Down,2018,TV-PG,204,Animation,7.2,"6,256",4
Malena Pichot: Estupidez compleja,2018,TV-MA,50,Comedy,5.7,363,4
The Christmas Chronicles,2018,PG,104,Adventure,7,"72,157",4
Nailed It!,2018,TV-PG,33,Game-Show,7.4,"4,828",4
Good Girls,2018,TV-14,41,Comedy,7.1,452,4
Dirty Money,2018,TV-14,60,Documentary,8.1,"9,307",4
Journal 64,2018,Not Rated,119,Crime,7.4,"16,759",4
Gad Elmaleh: American Dream,2018,TV-14,57,Comedy,7.2,"1,064",4
Sierra Burgess Is a Loser,2018,PG-13,105,Comedy,5.8,"39,160",4
Nightflyers,2018,TV-14,60,Drama,5.8,"13,355",4
Sofía Niño de Rivera: Selección natural,2018,TV-MA,62,Comedy,6.9,251,4
Agustín Aristarán: Soy Rada,2018,TV-MA,60,Comedy,6.3,127,4
The Debt Collector,2018,Not Rated,95,Action,5.8,"7,762",4
The Open House,2018,TV-MA,94,Horror,3.3,"34,572",4
Memories of the Alhambra,2018,TV-MA,60,Drama,7.8,"5,723",4
My Next Guest Needs No Introduction with David Letterman,2018,TV-MA,60,Talk-Show,7.8,"5,702",4
Scissor Seven,2018,TV-14,13,Animation,8.4,"2,974",4
Alex Strangelove,2018,TV-MA,99,Comedy,6.3,"17,989",4
The Other Side of the Wind,2018,R,122,Drama,6.7,"7,370",4
Radium Girls,2018,Not Rated,102,Drama,6.2,"1,907",4
The Quake,2018,PG-13,106,Action,6.2,"12,293",4
Pierre Jackson,2018,TV-MA,81,Romance,6.7,82,4
The Mercy,2018,Not Rated,112,Adventure,6,"8,688",4
Vir Das: Losing It,2018,TV-MA,67,Comedy,7,"1,275",4
Charg,2018,TV-Y7,85,Animation,5.6,"3,566",4
Rust Valley Restorers,2018,TV-14,38,Documentary,7.7,"2,958",4
Bleach,2018,TV-14,108,Action,6.3,"11,766",4
My Next Guest Needs No Introduction with David Letterman,2018,TV-MA,61,Talk-Show,8.8,"1,329",4
Haunted,2018,TV-MA,24,Horror,4.6,"3,267",4
The House of Flowers,2018,TV-MA,33,Comedy,6.8,128,4
Carlos Ballarta: Furia ñera,2018,TV-MA,62,Comedy,7.1,218,4
Unsolved: The Murders of Tupac and the Notorious B.I.G.,2018,TV-MA,60,Biography,7.8,"7,994",4
Meteor Garden,2018,TV-14,45,Drama,7.9,"4,145",4
The House of Flowers,2018,TV-MA,29,Comedy,6.5,137,4
Hilda,2018,TV-Y7,24,Animation,8.5,"10,730",4
Duck Butter,2018,Not Rated,93,Comedy,5.3,"4,043",4
The House of Flowers,2018,TV-MA,31,Comedy,6.4,147,4
The House of Flowers,2018,TV-MA,31,Comedy,6.7,149,4
Mau Nieto: Viviendo sobrio... desde el bar,2018,TV-MA,57,Comedy,6.7,81,4
The House of Flowers,2018,TV-MA,32,Comedy,6.5,161,4
How NOT to Summon a Demon Lord,2018,TV-MA,24,Animation,7,"3,500",4
Final Score,2018,R,104,Action,5.8,"12,973",4
Tau,2018,R,97,Sci-Fi,5.8,"31,614",4
Good Girls,2018,TV-14,42,Comedy,7.9,469,4
Rafinha Bastos: Ultimato,2018,TV-MA,62,Comedy,6.5,222,4
Fernando Sanjiao: Hombre,2018,TV-MA,63,Comedy,6.4,59,4
Alejandro Riaño: Especial de stand-up,2018,TV-MA,60,Comedy,4.9,71,4
Car Masters: Rust to Riches,2018,TV-PG,40,Reality-TV,8.4,"10,809",4
The House of Flowers,2018,TV-MA,60,Comedy,7.6,"7,884",4
Fyre,2018,TV-MA,97,Documentary,7.2,"47,128",4
The Week Of,2018,TV-14,116,Comedy,5.2,"22,189",4
Ibiza,2018,TV-MA,94,Comedy,5.2,"17,721",4
Luciano Mellera: Infantiloide,2018,TV-14,66,Comedy,7.5,"1,520",4
Dogs of Berlin,2018,TV-MA,542,Action,7.5,"12,808",4
Rust Creek,2018,R,108,Crime,5.9,"11,778",4
T-34,2018,TV-14,139,Action,6.7,"12,522",4
Sebastián Marcelo Wainraich,2018,TV-MA,49,Comedy,6.4,110,4
Adel Karam: Live from Beirut,2018,TV-MA,59,Comedy,5.3,151,4
Step Sisters,2018,PG-13,108,Comedy,5.4,"4,584",4
Love Jacked,2018,PG-13,100,Comedy,5.8,"2,259",4
Ricardo Quevedo: Hay gente así,2018,TV-MA,59,Comedy,6.3,114,4
Fary Is the New Black,2018,TV-MA,74,Comedy,5.8,137,4
Lucas Lauriente: Todo lo que sería,2018,TV-MA,74,Comedy,6.7,112,4
Cathedral of the Sea,2018,TV-MA,55,Drama,7.4,"4,567",4
She-Ra and the Princesses of Power,2018,TV-Y7,24,Animation,8.5,"1,007",4
She-Ra and the Princesses of Power,2018,TV-Y7,24,Animation,8.8,"1,072",4
The Ballad of Buster Scruggs,2018,R,133,Comedy,7.3,"146,391",4
She-Ra and the Princesses of Power,2018,TV-Y7,24,Animation,7.9,"1,024",4
Castle Rock,2018,TV-MA,60,Drama,7.5,"45,696",4
Cobra Kai,2018,TV-14,41,Action,9.4,"5,941",4
Cobra Kai,2018,TV-14,28,Action,8.3,"3,275",4
Cobra Kai,2018,TV-14,30,Action,8.7,"3,627",4
Cobra Kai,2018,TV-14,34,Action,8.3,"3,259",4
Cobra Kai,2018,TV-14,32,Action,7.8,"3,340",4
Cobra Kai,2018,TV-14,39,Action,9,"4,152",4
Cobra Kai,2018,TV-14,38,Action,8.1,"3,460",4
Hi Score Girl,2018,TV-PG,25,Animation,7.8,43,4
Cobra Kai,2018,TV-14,29,Action,8.1,"3,174",4
Cobra Kai,2018,TV-14,36,Action,8.4,"3,532",4
Cobra Kai,2018,TV-14,32,Action,8,"3,702",4
Narcos: Mexico,2018,TV-MA,56,Crime,8.6,"1,525",4
Ocean's Eight,2018,PG-13,110,Action,6.3,"217,713",4
12 Strong,2018,R,130,Action,6.5,"81,719",4
Good Girls,2018,TV-14,42,Comedy,8.1,546,4
Bird Box,2018,R,124,Horror,6.6,"336,633",4
Good Girls,2018,TV-14,42,Comedy,8,532,4
The Girl in the Spider's Web,2018,R,115,Action,6.1,"47,930",4
The Alienist,2018,TV-MA,60,Crime,7.7,"54,039",4
Robin Hood,2018,PG-13,116,Action,5.3,"73,741",4
She-Ra and the Princesses of Power,2018,TV-Y7,24,Animation,8,"1,079",4
She-Ra and the Princesses of Power,2018,TV-Y7,24,Animation,8.1,"1,061",4
She-Ra and the Princesses of Power,2018,TV-Y7,24,Animation,8,"1,054",4
She-Ra and the Princesses of Power,2018,TV-Y7,24,Animation,8.1,"1,101",4
Disenchantment,2018,TV-MA,30,Animation,7.2,"61,178",4
She-Ra and the Princesses of Power,2018,TV-Y7,24,Animation,7.5,"1,032",4
She-Ra and the Princesses of Power,2018,TV-Y7,24,Animation,7.7,"1,036",4
Outlaw King,2018,R,121,Action,6.9,"71,960",4
Sicario: Day of the Soldado,2018,R,122,Action,7.1,"147,136",4
Final Space,2018,TV-14,21,Animation,7.6,841,4
Lost in Space,2018,TV-PG,60,Adventure,7.3,"99,084",4
Manifest,2018,TV-14,43,Drama,7.1,"59,167",4
3Below: Tales of Arcadia,2018,TV-Y7,22,Animation,7.7,168,4
You,2018,TV-MA,45,Crime,7.7,"234,218",4
The Rain,2018,TV-MA,48,Drama,6.5,442,4
The Haunting of Hill House,2018,TV-MA,572,Drama,8.6,"237,198",4
New Amsterdam,2018,TV-14,43,Drama,8,"37,212",4
Pose,2018,TV-MA,54,Drama,8.1,581,4
Good Girls,2018,TV-14,43,Comedy,7.7,"51,835",4
Good Girls,2018,TV-14,42,Comedy,7.8,401,4
Narcos: Mexico,2018,TV-MA,60,Crime,7.9,"1,433",4
Derry Girls,2018,TV-MA,30,Comedy,8.5,"36,522",4
Good Girls,2018,TV-14,42,Comedy,7.6,421,4
Hi Score Girl,2018,TV-PG,25,Animation,8,45,4
Elite,2018,TV-MA,60,Crime,7.4,"77,113",4
Final Space,2018,TV-14,21,Animation,8.8,"1,080",4
Narcos: Mexico,2018,TV-MA,50,Crime,8.4,"83,199",4
Altered Carbon,2018,TV-MA,60,Action,7.9,"167,469",4
Jurassic World: Fallen Kingdom,2018,PG-13,128,Action,6.1,"314,340",4
Chilling Adventures of Sabrina,2018,TV-14,60,Drama,7.4,"93,761",4
Bodyguard,2018,TV-MA,60,Crime,8.1,"121,426",4
Final Space,2018,TV-14,21,Animation,9.1,939,4
Final Space,2018,TV-14,21,Animation,8.7,739,4
Venom,2018,PG-13,112,Action,6.6,"478,585",4
Final Space,2018,TV-14,21,Animation,8.1,694,4
Final Space,2018,TV-14,21,Animation,7.5,708,4
Final Space,2018,TV-14,21,Animation,8.7,852,4
Final Space,2018,TV-14,21,Animation,8.6,809,4
Final Space,2018,TV-14,21,Animation,7.9,761,4
Final Space,2018,TV-14,21,Animation,7.9,770,4
Final Space,2018,TV-14,21,Animation,7.9,827,4
Narcos: Mexico,2018,TV-MA,57,Crime,7.9,"1,514",4
Girl From Nowhere,2018,TV-MA,45,Crime,7.6,"4,447",4
Hi Score Girl,2018,TV-PG,25,Animation,7.4,44,4
Pose,2018,TV-MA,68,Drama,9.1,769,4
Apostle,2018,TV-MA,130,Drama,6.3,"52,870",4
The Protector,2018,TV-MA,40,Action,6.5,"34,809",4
Good Girls,2018,TV-14,41,Comedy,7.9,548,4
On My Block,2018,TV-14,30,Comedy,8.2,243,4
Everything Sucks!,2018,TV-14,30,Comedy,7.5,"19,872",4
Rise of the Teenage Mutant Ninja Turtles,2018,TV-Y7-FV,22,Animation,5.1,"3,965",4
Hi Score Girl,2018,TV-PG,25,Animation,8.3,60,4
Death Wish,2018,R,107,Action,6.3,"72,384",4
Hi Score Girl,2018,TV-PG,25,Animation,7.9,57,4
Hi Score Girl,2018,TV-PG,25,Animation,8.1,60,4
Hi Score Girl,2018,TV-PG,25,Animation,7.6,49,4
College Romance,2018,TV-MA,30,Comedy,8.4,"26,513",4
Elite,2018,TV-MA,51,Crime,9,"1,938",4
Elite,2018,TV-MA,48,Crime,7.8,"1,254",4
Pose,2018,TV-MA,60,Drama,8.6,"29,019",4
Mirage,2018,TV-MA,128,Drama,7.4,"55,701",4
The Cloverfield Paradox,2018,PG-13,102,Action,5.5,"105,228",4
Mr. Sunshine,2018,TV-MA,80,Action,8.7,"7,620",4
The Kosky Method,2018,TV-MA,26,Comedy,8,835,4
The Kosky Method,2018,TV-MA,21,Comedy,8,764,4
The Kosky Method,2018,TV-MA,25,Comedy,8.2,807,4
Final Space,2018,TV-14,30,Animation,8.2,"43,494",4
On My Block,2018,TV-14,28,Comedy,7.6,211,4
The Kosky Method,2018,TV-MA,25,Comedy,8,803,4
The Kosky Method,2018,TV-MA,25,Comedy,8,796,4
The Kosky Method,2018,TV-MA,29,Comedy,7.9,823,4
The Kosky Method,2018,TV-MA,23,Comedy,8.1,896,4
Good Girls,2018,TV-14,42,Comedy,8.3,683,4
Seven Seconds,2018,TV-MA,60,Crime,7.7,"16,561",4
She-Ra and the Princesses of Power,2018,TV-Y7,24,Animation,9.1,"1,106",4
Baki,2018,TV-MA,45,Animation,6.7,"6,333",4
Rampage,2018,PG-13,107,Action,6.1,"167,170",4
Baby,2018,TV-MA,51,Drama,7.3,119,4
Hotel Mumbai,2018,R,123,Action,7.6,"63,979",4
Pose,2018,TV-MA,42,Drama,8.8,696,4
The Kissing Booth,2018,TV-14,105,Comedy,5.9,"83,980",4
Maniac,2018,TV-MA,386,Comedy,7.7,"78,151",4
Insatiable,2018,TV-MA,45,Comedy,6.5,"28,595",4
Baby,2018,TV-MA,45,Drama,7.8,172,4
Baby,2018,TV-MA,41,Drama,7.7,155,4
The Kosky Method,2018,TV-MA,30,Comedy,8.2,"39,741",4
I Am a Killer,2018,TV-MA,52,Documentary,7.4,"4,287",4
Baby,2018,TV-MA,43,Drama,7.9,164,4
Baby,2018,TV-MA,51,Drama,7.8,168,4
Baby,2018,TV-MA,49,Drama,7.6,170,4
Baby,2018,TV-MA,49,Drama,7.5,188,4
The House of Flowers,2018,TV-MA,30,Comedy,8.3,74,4
Hi Score Girl,2018,TV-PG,25,Animation,7.7,45,4
Safe,2018,TV-MA,356,Crime,7.2,"43,443",4
Dirty John,2018,TV-14,44,Crime,7.2,"21,809",4
To All the Boys I've Loved Before,2018,TV-14,99,Comedy,7,"107,043",4
The Rain,2018,TV-MA,42,Drama,7.3,668,4
The Rain,2018,TV-MA,43,Drama,6.9,572,4
The Rain,2018,TV-MA,48,Drama,6.7,563,4
The Rain,2018,TV-MA,41,Drama,6.6,574,4
The Rain,2018,TV-MA,46,Drama,6.9,605,4
Set It Up,2018,TV-14,105,Comedy,6.5,"53,464",4
Sacred Games,2018,TV-MA,50,Action,8.5,"87,403",4
On My Block,2018,TV-14,32,Comedy,8,216,4
How It Ends,2018,TV-MA,113,Action,5,"53,299",4
The Little Mermaid,2018,PG,85,Adventure,4.2,"9,050",4
MILF,2018,TV-MA,101,Comedy,4.8,"6,369",4
Roma,2018,R,135,Drama,7.7,"157,396",4
The Guernsey Literary and Potato Peel Pie Society,2018,TV-14,124,Drama,7.3,"46,544",4
Hi Score Girl,2018,TV-PG,25,Animation,7.8,47,4
Ghoul,2018,TV-MA,45,Drama,7,"14,055",4
Dany Boon: Des Hauts-De-France,2018,TV-MA,113,Comedy,6.2,97,4
Thriller,2018,TV-MA,87,Crime,3.6,"1,223",4
Derren Brown: Sacrifice,2018,TV-14,49,Reality-TV,7.1,"1,836",4
Karakai Jouzu no Takagi-san,2018,TV-PG,23,Animation,7.7,"2,227",4
Your Son,2018,TV-MA,103,Adventure,6.1,"4,928",4
How to Get Over a Breakup,2018,TV-MA,104,Comedy,6.1,"2,028",4
Back Street Girls,2018,TV-MA,24,Animation,6.7,872,4
The Legacy of a Whitetail Deer Hunter,2018,TV-14,83,Comedy,5.5,"3,950",4
6 Balloons,2018,TV-MA,74,Drama,5.9,"4,205",4
Sunderland 'Til I Die,2018,TV-MA,39,Documentary,8.1,"8,352",4
3Below: Tales of Arcadia,2018,TV-Y7,22,Animation,8.4,162,4
Seth Rogen's Hilarity for Charity,2018,TV-MA,70,Comedy,5,"2,395",4
If I Hadn't Met You,2018,TV-MA,60,Drama,7.5,"2,491",4
Titans,2018,TV-MA,50,Action,5.6,"3,492",4
Black Earth Rising,2018,TV-MA,60,Thriller,7.4,"4,982",4
Love Per Square Foot,2018,TV-14,133,Comedy,7.2,"8,432",4
3Below: Tales of Arcadia,2018,TV-Y7,22,Animation,7.8,165,4
On My Skin: The Last Seven Days of Stefano Cucchi,2018,TV-MA,100,Biography,7.3,"9,389",4
May the Devil Take You,2018,TV-MA,110,Horror,5.9,"4,369",4
Gun City,2018,TV-MA,126,Crime,6.3,"3,970",4
Perdida,2018,TV-MA,103,Crime,5.6,"4,915",4
Busted!,2018,TV-14,90,Comedy,7.6,951,4
My Secret Terrius,2018,TV-14,35,Comedy,7.6,"1,284",4
Evil Genius: The True Story of America's Most Diabolical Bank Heist,2018,TV-MA,192,Documentary,7.5,"28,419",4
ReBoot: The Guardian Code,2018,TV-Y7-FV,30,Action,3.8,"1,213",4
The Drug King,2018,Not Rated,139,Action,6.2,"3,235",4
Modest Heroes,2018,PG,53,Animation,6.6,"2,745",4
Monogamy,2018,TV-MA,30,Drama,6.4,460,4
Standup and Away! with Brian Regan,2018,TV-PG,24,Comedy,5.7,402,4
Elite,2018,TV-MA,51,Crime,8.4,"1,200",4
The House of Flowers,2018,TV-MA,33,Comedy,7.8,144,4
Hanebado: The Badton Play of Ayano Hanesaki!,2018,TV-14,24,Animation,6.3,362,4
Bad Seeds,2018,TV-MA,100,Comedy,7.3,"5,593",4
The House of Flowers,2018,TV-MA,36,Comedy,6.5,130,4
The Land of Steady Habits,2018,TV-MA,98,Comedy,6.2,"7,859",4
Thieves of the Wood,2018,TV-MA,45,Adventure,6.8,"2,678",4
Trolls: The Beat Goes On!,2018,TV-G,25,Animation,5.8,817,4
Hero Mask,2018,TV-14,24,Animation,6.7,10,4
Animal World,2018,Not Rated,132,Action,6.4,"4,551",4
Dark Tourist,2018,TV-MA,40,Documentary,7.5,"7,418",4
Jim Jefferies: This Is Me Now,2018,TV-MA,70,Comedy,7.4,"4,095",4
The Holiday Calendar,2018,TV-PG,95,Comedy,5.7,"10,178",4
Loudon Wainwright III: Surviving Twin,2018,TV-14,91,Documentary,7.1,96,4
An Interview with God,2018,Unrated,97,Drama,5.8,"4,045",4
The Mechanism,2018,TV-MA,41,Crime,8,"36,200",4
First Match,2018,TV-MA,102,Drama,6.4,"2,308",4
7 Guardians of the Tomb,2018,TV-MA,90,Action,4.4,"4,239",4
B: The Beginning,2018,TV-MA,25,Animation,7.1,"4,983",4
Nappily Ever After,2018,TV-MA,98,Comedy,6.4,"9,274",4
Aggretsuko,2018,TV-14,15,Animation,8,"6,294",4
Larva Island,2018,TV-Y7,8,Animation,6.5,431,4
Hero Mask,2018,TV-14,24,Animation,6.5,11,4
Deadly Runway,2018,TV-14,90,Drama,4.5,199,4
Curtiz,2018,TV-MA,98,Biography,6,"1,083",4
Katt Williams: Great America,2018,TV-MA,60,Comedy,6.2,"1,002",4
Paskal,2018,TV-14,115,Action,6.5,"3,074",4
Christmas with a View,2018,TV-PG,91,Drama,5.1,"4,607",4
Banana Split,2018,R,88,Comedy,6.2,"3,427",4
Greg Davies: You Magnificent Beast,2018,TV-MA,66,Comedy,7.1,"2,427",4
3Below: Tales of Arcadia,2018,TV-Y7,22,Animation,7.8,171,4
3Below: Tales of Arcadia,2018,TV-Y7,22,Animation,7,158,4
Springsteen on Broadway,2018,TV-MA,153,Documentary,8.5,"2,230",4
Magic for Humans,2018,TV-PG,23,Comedy,7.2,"3,415",4
Amateur,2018,TV-MA,96,Drama,5.9,"4,547",4
Bayonet,2018,TV-MA,101,Drama,5.6,570,4
Misty,2018,TV-MA,60,Drama,8,664,4
3Below: Tales of Arcadia,2018,TV-Y7,23,Animation,8.1,162,4
